State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Rajasthan,BHILWARA,Onion,2001-02,Whole Year,150.0,Hectare,586.0,Tonnes,3.9066666666666663
Madhya Pradesh,UJJAIN,Rapeseed &Mustard,2004-05,Rabi,14010.0,Hectare,13005.0,Tonnes,0.9282655246252676
Uttar Pradesh,SHAMLI,Garlic,2012-13,Rabi,339.0,Hectare,1761.0,Tonnes,5.1946902654867255
Chhattisgarh,NARAYANPUR,Niger seed,2006-07,Kharif,674.0,Hectare,,Tonnes,0.0
Arunachal Pradesh,NAMSAI,Urad,2016-17,Rabi,236.0,Hectare,201.0,Tonnes,0.8516949152542372
Uttarakhand,UDAM SINGH NAGAR,Sunflower,2001-02,Kharif,41.0,Hectare,41.0,Tonnes,1.0
Maharashtra,HINGOLI,Niger seed,2005-06,Kharif,300.0,Hectare,100.0,Tonnes,0.3333333333333333
Odisha,ANUGUL,Turmeric,2001-02,Whole Year,290.0,Hectare,680.0,Tonnes,2.3448275862068964
Nagaland,ZUNHEBOTO,Rapeseed &Mustard,2001-02,Rabi,1480.0,Hectare,1490.0,Tonnes,1.0067567567567568
Himachal Pradesh,CHAMBA,Jowar,2000-01,Kharif,1.0,Hectare,0.1,Tonnes,0.1
Madhya Pradesh,DINDORI,Sugarcane,2001-02,Whole Year,3.0,Hectare,60.0,Tonnes,20.0
Odisha,PURI,Ragi,2001-02,Kharif,13.0,Hectare,5.1,Tonnes,0.3923076923076923
Nagaland,PEREN,Urad,2012-13,Kharif,20.0,Hectare,20.0,Tonnes,1.0
Maharashtra,JALNA,Wheat,2001-02,Rabi,28400.0,Hectare,41600.0,Tonnes,1.4647887323943662
Uttar Pradesh,GHAZIABAD,Peas & beans (Pulses),2001-02,Rabi,736.0,Hectare,890.0,Tonnes,1.2092391304347827
Uttar Pradesh,CHITRAKOOT,Potato,2016-17,Rabi,332.0,Hectare,8049.0,Tonnes,24.24397590361446
Maharashtra,PARBHANI,Rice,2001-02,Kharif,9600.0,Hectare,5300.0,Tonnes,0.5520833333333334
Tripura,NORTH TRIPURA,Moong(Green Gram),2016-17,Kharif,260.0,Hectare,150.0,Tonnes,0.5769230769230769
Uttar Pradesh,AMBEDKAR NAGAR,Maize,2003-04,Summer,266.0,Hectare,364.0,Tonnes,1.368421052631579
Telangana,BHADRADRI,Dry chillies,2016-17,Kharif,6843.0,Hectare,26393.0,Tonnes,3.8569340932339617
Rajasthan,TONK,Urad,2001-02,Kharif,16814.0,Hectare,6265.0,Tonnes,0.3726061615320566
Madhya Pradesh,JABALPUR,Urad,2005-06,Rabi,832.0,Hectare,351.0,Tonnes,0.421875
Uttar Pradesh,BARABANKI,Maize,2003-04,Summer,820.0,Hectare,1121.0,Tonnes,1.3670731707317074
Madhya Pradesh,GUNA,Sugarcane,2001-02,Whole Year,1000.0,Hectare,23860.0,Tonnes,23.86
Madhya Pradesh,KHARGONE,Maize,2019-20,Summer,7250.0,Hectare,58000.0,Tonnes,8.0
Andhra Pradesh,VIZIANAGARAM,Ragi,2003-04,Kharif,6710.0,Hectare,9032.0,Tonnes,1.3460506706408346
Uttar Pradesh,SAHARANPUR,Maize,2019-20,Kharif,7054.0,Hectare,18016.0,Tonnes,2.5540119081372272
Jammu and Kashmir,DODA,Other Rabi pulses,2004-05,Rabi,5.0,Hectare,2.0,Tonnes,0.4
